client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260624-134500-001-000-1,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-001,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-42e514ef6009ad67-017,MARKET,BUY,1,GTC,False,False,1,TAKER,5529.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e04e61bc-d517-4e2a-a788-5b5e898e3283,2026-06-24 13:45:00+00:00,2026-06-24 13:45:00+00:00
O-20260624-154500-001-000-2,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-002,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-4f9bbad17f8dfe39-114,MARKET,SELL,1,GTC,False,False,1,TAKER,5552.75,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2ab4d0e8-e3e4-474a-bbf9-f449bc736171,2026-06-24 15:45:00+00:00,2026-06-24 15:45:00+00:00
O-20260624-155500-001-000-3,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-003,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-d2d0f790e92a548d-123,MARKET,BUY,1,GTC,False,False,1,TAKER,5554.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c118f95d-9ddd-4174-8a74-40403a3f43ca,2026-06-24 15:55:00+00:00,2026-06-24 15:55:00+00:00
O-20260624-155500-001-000-4,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-004,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-d2d0f790e92a548d-124,MARKET,SELL,1,GTC,False,False,1,TAKER,5553.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3cdc3e1c-34d2-4d2b-9fdf-b5e4d2849678,2026-06-24 15:55:00+00:00,2026-06-24 15:55:00+00:00
O-20260624-160500-001-000-5,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-005,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-f9f5d81bbf9671ad-133,MARKET,BUY,1,GTC,False,False,1,TAKER,5556.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,95333837-0d0e-402f-b8ac-4e8951dc6d84,2026-06-24 16:05:00+00:00,2026-06-24 16:05:00+00:00
O-20260624-180500-001-000-6,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-006,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-e02ab2265a387afd-230,MARKET,SELL,1,GTC,False,False,1,TAKER,5579.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,19680dcd-3d80-43fc-92bb-8901d02c2730,2026-06-24 18:05:00+00:00,2026-06-24 18:05:00+00:00
O-20260624-181500-001-000-7,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-007,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-7662311f8481ee36-239,MARKET,BUY,1,GTC,False,False,1,TAKER,5583.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f640d52c-7c50-4832-8e7d-47c61f4d8141,2026-06-24 18:15:00+00:00,2026-06-24 18:15:00+00:00
O-20260624-195500-001-000-8,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-008,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-3eb55c8c2725c0be-320,MARKET,SELL,1,GTC,False,False,1,TAKER,5601.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,225a25fd-2b1a-4712-885b-e400d669659b,2026-06-24 19:55:00+00:00,2026-06-24 19:55:00+00:00
