client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260625-134500-001-000-1,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-001,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-e1d548c328322f10-017,MARKET,BUY,1,GTC,False,False,1,TAKER,5541.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0d53cc2c-4e9f-48af-b996-efd667704a43,2026-06-25 13:45:00+00:00,2026-06-25 13:45:00+00:00
O-20260625-154500-001-000-2,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-002,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-0c0182f1db89f7e0-114,MARKET,SELL,1,GTC,False,False,1,TAKER,5564.75,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b6bbaba9-7982-4985-97d2-67e932fd8758,2026-06-25 15:45:00+00:00,2026-06-25 15:45:00+00:00
O-20260625-155500-001-000-3,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-003,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-6f593bc4489fb3c3-123,MARKET,BUY,1,GTC,False,False,1,TAKER,5566.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d94ebe1b-9ddf-4718-a56a-bf30ca47307f,2026-06-25 15:55:00+00:00,2026-06-25 15:55:00+00:00
O-20260625-155500-001-000-4,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-004,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-6f593bc4489fb3c3-124,MARKET,SELL,1,GTC,False,False,1,TAKER,5565.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,aa9c5794-73a3-4605-be80-e77f5cf15769,2026-06-25 15:55:00+00:00,2026-06-25 15:55:00+00:00
O-20260625-160500-001-000-5,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-005,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-fe6aa0aff2989c71-133,MARKET,BUY,1,GTC,False,False,1,TAKER,5568.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2d5dd6d6-7175-4d1c-b4fe-5f5d3030fbf9,2026-06-25 16:05:00+00:00,2026-06-25 16:05:00+00:00
O-20260625-180500-001-000-6,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-006,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-ea88fb63d94ec235-230,MARKET,SELL,1,GTC,False,False,1,TAKER,5591.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c3901a2f-6259-4a0d-ae19-778b8adb54cf,2026-06-25 18:05:00+00:00,2026-06-25 18:05:00+00:00
O-20260625-181500-001-000-7,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-007,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-62497bf4161e27b4-239,MARKET,BUY,1,GTC,False,False,1,TAKER,5595.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1024e8a1-e04b-45b4-a53a-03837531631f,2026-06-25 18:15:00+00:00,2026-06-25 18:15:00+00:00
O-20260625-195500-001-000-8,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-008,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-f1292ef7e016dbb5-320,MARKET,SELL,1,GTC,False,False,1,TAKER,5613.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8e80d402-be22-4a2a-b148-cb3923813658,2026-06-25 19:55:00+00:00,2026-06-25 19:55:00+00:00
