position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ESU6.GLBX-StrategySpecNautilusAdapter-000-a7f710e7-074b-4ea3-a0ac-2b0387830608,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260622-134500-001-000-1,O-20260622-154500-001-000-2,BUY,FLAT,0,1,1782135900000000000,2026-06-22 13:45:00+00:00,1782143100000000000,2026-06-22 15:45:00+00:00,7200000000000.0,5505.25,5528.75,['5.00 USD'],0.00427,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-e1ae6a4a-5156-485d-8eff-61c706e25b4a,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260622-155500-001-000-3,O-20260622-155500-001-000-4,BUY,FLAT,0,1,1782143700000000000,2026-06-22 15:55:00+00:00,1782143700000000000,2026-06-22 15:55:00+00:00,,5530.0,5529.5,['5.00 USD'],-9e-05,-5.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-6464761a-9ee4-4844-9105-e248a2969c7f,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260622-160500-001-000-5,O-20260622-180500-001-000-6,BUY,FLAT,0,1,1782144300000000000,2026-06-22 16:05:00+00:00,1782151500000000000,2026-06-22 18:05:00+00:00,7200000000000.0,5532.0,5555.5,['5.00 USD'],0.00425,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260622-181500-001-000-7,O-20260622-195500-001-000-8,BUY,FLAT,0,1,1782152100000000000,2026-06-22 18:15:00+00:00,1782158100000000000,2026-06-22 19:55:00+00:00,6000000000000.0,5559.25,5577.5,['5.00 USD'],0.00328,13.25 USD,False
