client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260622-134500-001-000-1,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-001,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-d9de8f35368d88a3-017,MARKET,BUY,1,GTC,False,False,1,TAKER,5505.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fe350ea7-187e-46da-9924-3e516d8de92c,2026-06-22 13:45:00+00:00,2026-06-22 13:45:00+00:00
O-20260622-154500-001-000-2,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-002,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-9a62c54df0f49333-114,MARKET,SELL,1,GTC,False,False,1,TAKER,5528.75,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,da675e1f-9668-4f65-8aab-0b7a8ad1acc9,2026-06-22 15:45:00+00:00,2026-06-22 15:45:00+00:00
O-20260622-155500-001-000-3,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-003,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-daa3e06048add7c0-123,MARKET,BUY,1,GTC,False,False,1,TAKER,5530.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,99467112-5b5a-4dac-a26c-4b439ed1126b,2026-06-22 15:55:00+00:00,2026-06-22 15:55:00+00:00
O-20260622-175500-001-000-4,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-004,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-b38ba0eef3a65a65-220,MARKET,SELL,1,GTC,False,False,1,TAKER,5553.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4dd22a3f-32ba-42c5-936f-b8682f1b419d,2026-06-22 17:55:00+00:00,2026-06-22 17:55:00+00:00
O-20260622-180500-001-000-5,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-005,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-a9e3ea07bd03801f-229,MARKET,BUY,1,GTC,False,False,1,TAKER,5556.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,7063ae25-d2c2-4aae-a8c9-6fa6f108a0d9,2026-06-22 18:05:00+00:00,2026-06-22 18:05:00+00:00
O-20260622-195500-001-000-6,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-006,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-8f047e523252b0a3-318,MARKET,SELL,1,GTC,False,False,1,TAKER,5577.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d27c858e-83de-48a1-ad0a-6f702443634d,2026-06-22 19:55:00+00:00,2026-06-22 19:55:00+00:00
