,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2026-06-23 13:30:00+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],True,{}
2026-06-23 13:45:00+00:00,999997.50,0.00,999997.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-06-23 15:45:00+00:00,1000018.50,0.00,1000018.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-06-23 15:55:00+00:00,1000016.00,0.00,1000016.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-06-23 17:55:00+00:00,1000037.00,0.00,1000037.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-06-23 18:05:00+00:00,1000034.50,0.00,1000034.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-06-23 19:55:00+00:00,1000053.50,0.00,1000053.50,USD,GLBX-001,MARGIN,USD,[],False,{}
