position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ESU6.GLBX-StrategySpecNautilusAdapter-000-5a54518f-9ce8-426b-a4b4-f018643ee74a,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260625-134500-001-000-1,O-20260625-154500-001-000-2,BUY,FLAT,0,1,1782395100000000000,2026-06-25 13:45:00+00:00,1782402300000000000,2026-06-25 15:45:00+00:00,7200000000000,5541.25,5564.75,['5.00 USD'],0.00424,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-2a99ffd6-fd5d-445c-95d4-562059295814,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260625-155500-001-000-3,O-20260625-175500-001-000-4,BUY,FLAT,0,1,1782402900000000000,2026-06-25 15:55:00+00:00,1782410100000000000,2026-06-25 17:55:00+00:00,7200000000000,5566.0,5589.5,['5.00 USD'],0.00422,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260625-180500-001-000-5,O-20260625-195500-001-000-6,BUY,FLAT,0,1,1782410700000000000,2026-06-25 18:05:00+00:00,1782417300000000000,2026-06-25 19:55:00+00:00,6600000000000,5592.0,5613.5,['5.00 USD'],0.00384,16.50 USD,False
