position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ESU6.GLBX-StrategySpecNautilusAdapter-000-82c96ffa-7a30-437d-9c1c-88dcd41de507,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260623-134500-001-000-1,O-20260623-154500-001-000-2,BUY,FLAT,0,1,1782222300000000000,2026-06-23 13:45:00+00:00,1782229500000000000,2026-06-23 15:45:00+00:00,7200000000000,5517.25,5540.75,['5.00 USD'],0.00426,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-29a49b86-0a95-411c-880c-92a00c94e3dd,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260623-155500-001-000-3,O-20260623-175500-001-000-4,BUY,FLAT,0,1,1782230100000000000,2026-06-23 15:55:00+00:00,1782237300000000000,2026-06-23 17:55:00+00:00,7200000000000,5542.0,5565.5,['5.00 USD'],0.00424,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260623-180500-001-000-5,O-20260623-195500-001-000-6,BUY,FLAT,0,1,1782237900000000000,2026-06-23 18:05:00+00:00,1782244500000000000,2026-06-23 19:55:00+00:00,6600000000000,5568.0,5589.5,['5.00 USD'],0.00386,16.50 USD,False
