position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ESU6.GLBX-StrategySpecNautilusAdapter-000-ce74d25c-c06d-4619-9d5b-6a9873ed4515,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260625-134500-001-000-1,O-20260625-154500-001-000-2,BUY,FLAT,0,1,1782395100000000000,2026-06-25 13:45:00+00:00,1782402300000000000,2026-06-25 15:45:00+00:00,7200000000000.0,5541.25,5564.75,['5.00 USD'],0.00424,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-edc03549-42b7-4597-8b09-20b3c3edd6c3,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260625-155500-001-000-3,O-20260625-155500-001-000-4,BUY,FLAT,0,1,1782402900000000000,2026-06-25 15:55:00+00:00,1782402900000000000,2026-06-25 15:55:00+00:00,,5566.0,5565.5,['5.00 USD'],-9e-05,-5.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-6c7a57f4-7ad2-4082-89cc-3563d6c3646d,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260625-160500-001-000-5,O-20260625-180500-001-000-6,BUY,FLAT,0,1,1782403500000000000,2026-06-25 16:05:00+00:00,1782410700000000000,2026-06-25 18:05:00+00:00,7200000000000.0,5568.0,5591.5,['5.00 USD'],0.00422,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260625-181500-001-000-7,O-20260625-195500-001-000-8,BUY,FLAT,0,1,1782411300000000000,2026-06-25 18:15:00+00:00,1782417300000000000,2026-06-25 19:55:00+00:00,6000000000000.0,5595.25,5613.5,['5.00 USD'],0.00326,13.25 USD,False
