position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ESU6.GLBX-StrategySpecNautilusAdapter-000-96d11cf3-cd95-409d-8281-6d85b0124d29,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260624-134500-001-000-1,O-20260624-154500-001-000-2,BUY,FLAT,0,1,1782308700000000000,2026-06-24 13:45:00+00:00,1782315900000000000,2026-06-24 15:45:00+00:00,7200000000000.0,5529.25,5552.75,['5.00 USD'],0.00425,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-6578e5ae-d3d9-4087-8c57-02e2141fbc08,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260624-155500-001-000-3,O-20260624-155500-001-000-4,BUY,FLAT,0,1,1782316500000000000,2026-06-24 15:55:00+00:00,1782316500000000000,2026-06-24 15:55:00+00:00,,5554.0,5553.5,['5.00 USD'],-9e-05,-5.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-f666f719-0ef7-4922-a089-e4a44c677f37,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260624-160500-001-000-5,O-20260624-180500-001-000-6,BUY,FLAT,0,1,1782317100000000000,2026-06-24 16:05:00+00:00,1782324300000000000,2026-06-24 18:05:00+00:00,7200000000000.0,5556.0,5579.5,['5.00 USD'],0.00423,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260624-181500-001-000-7,O-20260624-195500-001-000-8,BUY,FLAT,0,1,1782324900000000000,2026-06-24 18:15:00+00:00,1782330900000000000,2026-06-24 19:55:00+00:00,6000000000000.0,5583.25,5601.5,['5.00 USD'],0.00327,13.25 USD,False
