position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ESU6.GLBX-StrategySpecNautilusAdapter-000-1b5943cb-6ad8-42d1-8c4f-1666773a8f84,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260623-134500-001-000-1,O-20260623-154500-001-000-2,BUY,FLAT,0,1,1782222300000000000,2026-06-23 13:45:00+00:00,1782229500000000000,2026-06-23 15:45:00+00:00,7200000000000.0,5517.25,5540.75,['5.00 USD'],0.00426,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-4dbc1cd8-b112-4535-aee8-9b67e07ace59,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260623-155500-001-000-3,O-20260623-155500-001-000-4,BUY,FLAT,0,1,1782230100000000000,2026-06-23 15:55:00+00:00,1782230100000000000,2026-06-23 15:55:00+00:00,,5542.0,5541.5,['5.00 USD'],-9e-05,-5.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-06689cfa-02ca-43c4-9c15-a28c2b312e79,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260623-160500-001-000-5,O-20260623-180500-001-000-6,BUY,FLAT,0,1,1782230700000000000,2026-06-23 16:05:00+00:00,1782237900000000000,2026-06-23 18:05:00+00:00,7200000000000.0,5544.0,5567.5,['5.00 USD'],0.00424,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260623-181500-001-000-7,O-20260623-195500-001-000-8,BUY,FLAT,0,1,1782238500000000000,2026-06-23 18:15:00+00:00,1782244500000000000,2026-06-23 19:55:00+00:00,6000000000000.0,5571.25,5589.5,['5.00 USD'],0.00328,13.25 USD,False
