client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260623-134500-001-000-1,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-001,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-be8f1ecc68891ee1-017,MARKET,BUY,1,GTC,False,False,1,TAKER,5517.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a76113b7-b1f4-4124-8c15-0a31fb22102b,2026-06-23 13:45:00+00:00,2026-06-23 13:45:00+00:00
O-20260623-154500-001-000-2,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-002,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-664a7f7a52974632-114,MARKET,SELL,1,GTC,False,False,1,TAKER,5540.75,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,142e8685-770c-4104-9fae-6e68c2f03441,2026-06-23 15:45:00+00:00,2026-06-23 15:45:00+00:00
O-20260623-155500-001-000-3,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-003,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-f42fb8775cb25da3-123,MARKET,BUY,1,GTC,False,False,1,TAKER,5542.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d925b3dd-ee91-426b-9510-d0b05f832b9e,2026-06-23 15:55:00+00:00,2026-06-23 15:55:00+00:00
O-20260623-155500-001-000-4,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-004,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-f42fb8775cb25da3-124,MARKET,SELL,1,GTC,False,False,1,TAKER,5541.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,276782f4-5aa0-4cb9-8579-682979aa1c86,2026-06-23 15:55:00+00:00,2026-06-23 15:55:00+00:00
O-20260623-160500-001-000-5,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-005,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-6325d74cc7613934-133,MARKET,BUY,1,GTC,False,False,1,TAKER,5544.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0556ff64-19a3-4b10-b742-aa80d6eceb0c,2026-06-23 16:05:00+00:00,2026-06-23 16:05:00+00:00
O-20260623-180500-001-000-6,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-006,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-a88feb82ccaab040-230,MARKET,SELL,1,GTC,False,False,1,TAKER,5567.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,aeab2032-4959-4dc3-a130-306d467509e0,2026-06-23 18:05:00+00:00,2026-06-23 18:05:00+00:00
O-20260623-181500-001-000-7,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-007,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-b9412f32dd0abf62-239,MARKET,BUY,1,GTC,False,False,1,TAKER,5571.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4d56f36e-4878-435b-a2fc-4ddcb973cca4,2026-06-23 18:15:00+00:00,2026-06-23 18:15:00+00:00
O-20260623-195500-001-000-8,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-008,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-3757e08f30d777d0-320,MARKET,SELL,1,GTC,False,False,1,TAKER,5589.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1594cc2b-9c0a-46fe-9825-2b567cb91d8d,2026-06-23 19:55:00+00:00,2026-06-23 19:55:00+00:00
