client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260625-134500-001-000-1,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-001,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-e1d548c328322f10-017,MARKET,BUY,1,GTC,False,False,1,TAKER,5541.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4f4d2af2-1077-400f-8da4-ed9843c2e175,2026-06-25 13:45:00+00:00,2026-06-25 13:45:00+00:00
O-20260625-174500-001-000-2,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-002,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-d00ccc9eac44fc62-210,MARKET,SELL,1,GTC,False,False,1,TAKER,5588.75,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3ed7145c-f082-4322-8790-02a70933b33c,2026-06-25 17:45:00+00:00,2026-06-25 17:45:00+00:00
O-20260625-175500-001-000-3,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-003,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-a1f71b3fd8961804-219,MARKET,BUY,1,GTC,False,False,1,TAKER,5590.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,cf425fe9-eed0-4f3e-a825-d95529f56ee0,2026-06-25 17:55:00+00:00,2026-06-25 17:55:00+00:00
O-20260625-195500-001-000-4,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-004,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-f1292ef7e016dbb5-316,MARKET,SELL,1,GTC,False,False,1,TAKER,5613.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,06d5a418-74b9-4eb5-aac9-698c01deff85,2026-06-25 19:55:00+00:00,2026-06-25 19:55:00+00:00
