client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260624-134500-001-000-1,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-001,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-42e514ef6009ad67-017,MARKET,BUY,1,GTC,False,False,1,TAKER,5529.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bca2e3f3-c268-4d9d-bbe1-1ea63cd2c6fe,2026-06-24 13:45:00+00:00,2026-06-24 13:45:00+00:00
O-20260624-174500-001-000-2,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-002,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-6a332f4069c65c13-210,MARKET,SELL,1,GTC,False,False,1,TAKER,5576.75,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d0fd9df8-4ce6-4f88-b9ec-f5cc6ffc37c7,2026-06-24 17:45:00+00:00,2026-06-24 17:45:00+00:00
O-20260624-175500-001-000-3,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-003,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-f5306f9eab89a591-219,MARKET,BUY,1,GTC,False,False,1,TAKER,5578.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,142fe7d9-33b0-44d7-a7c4-e966e0ab44a8,2026-06-24 17:55:00+00:00,2026-06-24 17:55:00+00:00
O-20260624-195500-001-000-4,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-004,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-3eb55c8c2725c0be-316,MARKET,SELL,1,GTC,False,False,1,TAKER,5601.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b705a4df-9845-4c54-8eb7-66aa621bf6a1,2026-06-24 19:55:00+00:00,2026-06-24 19:55:00+00:00
