client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260622-134500-001-000-1,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-001,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-d9de8f35368d88a3-017,MARKET,BUY,1,GTC,False,False,1,TAKER,5505.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5f05942c-01c7-42ce-85dc-4696ac8a0b35,2026-06-22 13:45:00+00:00,2026-06-22 13:45:00+00:00
O-20260622-174500-001-000-2,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-002,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-c6370855a76b7865-210,MARKET,SELL,1,GTC,False,False,1,TAKER,5552.75,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,006ca3ff-14f1-4cab-a44e-f874f0a11938,2026-06-22 17:45:00+00:00,2026-06-22 17:45:00+00:00
O-20260622-175500-001-000-3,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-003,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-b38ba0eef3a65a65-219,MARKET,BUY,1,GTC,False,False,1,TAKER,5554.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8f5b4e06-fa1e-4b11-aa9c-1dfc96e51b27,2026-06-22 17:55:00+00:00,2026-06-22 17:55:00+00:00
O-20260622-175500-001-000-4,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-004,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-b38ba0eef3a65a65-220,MARKET,SELL,1,GTC,False,False,1,TAKER,5553.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2f31cca4-8445-4881-8478-9f32417cd75f,2026-06-22 17:55:00+00:00,2026-06-22 17:55:00+00:00
O-20260622-180500-001-000-5,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-005,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-a9e3ea07bd03801f-229,MARKET,BUY,1,GTC,False,False,1,TAKER,5556.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6feefb0e-4172-494c-a1bf-4ae794a9c0e6,2026-06-22 18:05:00+00:00,2026-06-22 18:05:00+00:00
O-20260622-195500-001-000-6,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-006,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-8f047e523252b0a3-318,MARKET,SELL,1,GTC,False,False,1,TAKER,5577.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1a74220e-5a91-4cab-b7ea-1cc25ce82d46,2026-06-22 19:55:00+00:00,2026-06-22 19:55:00+00:00
