client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260625-134500-001-000-1,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-001,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-e1d548c328322f10-017,MARKET,BUY,1,GTC,False,False,1,TAKER,5541.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8c7e8866-2178-44fe-bc3f-50ec93b52dad,2026-06-25 13:45:00+00:00,2026-06-25 13:45:00+00:00
O-20260625-174500-001-000-2,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-002,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-d00ccc9eac44fc62-210,MARKET,SELL,1,GTC,False,False,1,TAKER,5588.75,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c4585cc9-9f14-4418-b211-869a8f9ae323,2026-06-25 17:45:00+00:00,2026-06-25 17:45:00+00:00
O-20260625-175500-001-000-3,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-003,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-a1f71b3fd8961804-219,MARKET,BUY,1,GTC,False,False,1,TAKER,5590.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2e3e704c-b999-477d-b2b3-607bd8bece96,2026-06-25 17:55:00+00:00,2026-06-25 17:55:00+00:00
O-20260625-175500-001-000-4,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-004,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-a1f71b3fd8961804-220,MARKET,SELL,1,GTC,False,False,1,TAKER,5589.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f7108085-6bbf-421f-9cf6-ac5d614ff467,2026-06-25 17:55:00+00:00,2026-06-25 17:55:00+00:00
O-20260625-180500-001-000-5,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-005,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-ea88fb63d94ec235-229,MARKET,BUY,1,GTC,False,False,1,TAKER,5592.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e0a0d11d-65d1-4eda-b23b-f145b43873ae,2026-06-25 18:05:00+00:00,2026-06-25 18:05:00+00:00
O-20260625-195500-001-000-6,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-006,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-f1292ef7e016dbb5-318,MARKET,SELL,1,GTC,False,False,1,TAKER,5613.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,90beda55-1002-48f8-8565-8c0d27748e90,2026-06-25 19:55:00+00:00,2026-06-25 19:55:00+00:00
