client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260625-134500-001-000-1,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-001,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-e1d548c328322f10-017,MARKET,BUY,1,GTC,False,False,1,TAKER,5541.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,440d9d35-77de-40a7-ac67-f7709d8adf9f,2026-06-25 13:45:00+00:00,2026-06-25 13:45:00+00:00
O-20260625-174500-001-000-2,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-002,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-d00ccc9eac44fc62-210,MARKET,SELL,1,GTC,False,False,1,TAKER,5588.75,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b241d3f1-5821-40ef-a866-7b9def9db4e4,2026-06-25 17:45:00+00:00,2026-06-25 17:45:00+00:00
O-20260625-175500-001-000-3,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-003,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-a1f71b3fd8961804-219,MARKET,BUY,1,GTC,False,False,1,TAKER,5590.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,99f71238-a5c0-4aad-8327-ed8ebbc2e3c9,2026-06-25 17:55:00+00:00,2026-06-25 17:55:00+00:00
O-20260625-175500-001-000-4,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-004,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-a1f71b3fd8961804-220,MARKET,SELL,1,GTC,False,False,1,TAKER,5589.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d469c88a-0ff3-42fe-96be-b6d477883d6c,2026-06-25 17:55:00+00:00,2026-06-25 17:55:00+00:00
O-20260625-180500-001-000-5,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-005,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-ea88fb63d94ec235-229,MARKET,BUY,1,GTC,False,False,1,TAKER,5592.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0eab548b-117e-420e-a146-431e2742fba9,2026-06-25 18:05:00+00:00,2026-06-25 18:05:00+00:00
O-20260625-195500-001-000-6,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-006,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-f1292ef7e016dbb5-318,MARKET,SELL,1,GTC,False,False,1,TAKER,5613.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fa0b2bcf-9a9d-4d3e-9985-1b5d1eeaaabd,2026-06-25 19:55:00+00:00,2026-06-25 19:55:00+00:00
