position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ESU6.GLBX-StrategySpecNautilusAdapter-000-e9fc9867-18c7-46b8-8a7c-6a04e7906da9,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260625-134500-001-000-1,O-20260625-174500-001-000-2,BUY,FLAT,0,1,1782395100000000000,2026-06-25 13:45:00+00:00,1782409500000000000,2026-06-25 17:45:00+00:00,14400000000000.0,5541.25,5588.75,['5.00 USD'],0.00857,42.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-cd3f49d5-98c5-4724-8b59-c55830e897d0,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260625-175500-001-000-3,O-20260625-175500-001-000-4,BUY,FLAT,0,1,1782410100000000000,2026-06-25 17:55:00+00:00,1782410100000000000,2026-06-25 17:55:00+00:00,,5590.0,5589.5,['5.00 USD'],-9e-05,-5.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260625-180500-001-000-5,O-20260625-195500-001-000-6,BUY,FLAT,0,1,1782410700000000000,2026-06-25 18:05:00+00:00,1782417300000000000,2026-06-25 19:55:00+00:00,6600000000000.0,5592.0,5613.5,['5.00 USD'],0.00384,16.50 USD,False
