position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ESU6.GLBX-StrategySpecNautilusAdapter-000-0c81b684-6a55-47f4-ad4b-08152cfaf61c,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260624-134500-001-000-1,O-20260624-154500-001-000-2,BUY,FLAT,0,1,1782308700000000000,2026-06-24 13:45:00+00:00,1782315900000000000,2026-06-24 15:45:00+00:00,7200000000000,5529.25,5552.75,['5.00 USD'],0.00425,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-f036964f-ecc1-46ac-ad8c-a4a8ccb04c7b,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260624-155500-001-000-3,O-20260624-175500-001-000-4,BUY,FLAT,0,1,1782316500000000000,2026-06-24 15:55:00+00:00,1782323700000000000,2026-06-24 17:55:00+00:00,7200000000000,5554.0,5577.5,['5.00 USD'],0.00423,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260624-180500-001-000-5,O-20260624-195500-001-000-6,BUY,FLAT,0,1,1782324300000000000,2026-06-24 18:05:00+00:00,1782330900000000000,2026-06-24 19:55:00+00:00,6600000000000,5580.0,5601.5,['5.00 USD'],0.00385,16.50 USD,False
