position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ESU6.GLBX-StrategySpecNautilusAdapter-000-0e8f3ab0-84e3-4c8c-a47d-2e065fac50cf,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260626-134500-001-000-1,O-20260626-154500-001-000-2,BUY,FLAT,0,1,1782481500000000000,2026-06-26 13:45:00+00:00,1782488700000000000,2026-06-26 15:45:00+00:00,7200000000000,5553.25,5576.75,['5.00 USD'],0.00423,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000-eecf3a12-36d3-40d6-bb86-cab33b81a931,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260626-155500-001-000-3,O-20260626-175500-001-000-4,BUY,FLAT,0,1,1782489300000000000,2026-06-26 15:55:00+00:00,1782496500000000000,2026-06-26 17:55:00+00:00,7200000000000,5578.0,5601.5,['5.00 USD'],0.00421,18.50 USD,True
ESU6.GLBX-StrategySpecNautilusAdapter-000,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-001,O-20260626-180500-001-000-5,O-20260626-195500-001-000-6,BUY,FLAT,0,1,1782497100000000000,2026-06-26 18:05:00+00:00,1782503700000000000,2026-06-26 19:55:00+00:00,6600000000000,5604.0,5625.5,['5.00 USD'],0.00384,16.50 USD,False
