client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20260623-134500-001-000-1,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-001,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-be8f1ecc68891ee1-017,MARKET,BUY,1,GTC,False,False,1,TAKER,5517.25,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e53c0b58-88cc-4769-88d2-fed63d3ea99a,2026-06-23 13:45:00+00:00,2026-06-23 13:45:00+00:00
O-20260623-154500-001-000-2,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-002,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-664a7f7a52974632-114,MARKET,SELL,1,GTC,False,False,1,TAKER,5540.75,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1c081be5-da28-45c9-a898-84378a962206,2026-06-23 15:45:00+00:00,2026-06-23 15:45:00+00:00
O-20260623-155500-001-000-3,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-003,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-f42fb8775cb25da3-123,MARKET,BUY,1,GTC,False,False,1,TAKER,5542.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,66806b8a-a11a-4ed1-b8fc-e4f373819292,2026-06-23 15:55:00+00:00,2026-06-23 15:55:00+00:00
O-20260623-175500-001-000-4,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-004,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-9cff698370cab848-220,MARKET,SELL,1,GTC,False,False,1,TAKER,5565.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ff8fbf22-e873-41d7-854e-4da46fa527b4,2026-06-23 17:55:00+00:00,2026-06-23 17:55:00+00:00
O-20260623-180500-001-000-5,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-005,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-a88feb82ccaab040-229,MARKET,BUY,1,GTC,False,False,1,TAKER,5568.0,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e65e71bc-8606-4ff4-a1bd-6aa3079aa368,2026-06-23 18:05:00+00:00,2026-06-23 18:05:00+00:00
O-20260623-195500-001-000-6,BACKTESTER-001,StrategySpecNautilusAdapter-000,ESU6.GLBX,GLBX-1-006,ESU6.GLBX-StrategySpecNautilusAdapter-000,GLBX-001,T-3757e08f30d777d0-318,MARKET,SELL,1,GTC,False,False,1,TAKER,5589.5,0.0,['2.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3da07f93-fe75-4985-933c-41c3d86c8379,2026-06-23 19:55:00+00:00,2026-06-23 19:55:00+00:00
